,beer_id,name,display_name,abv,ibu,style_id,year,glass_id,organic,brewery_id,retired,status,ingredients,hops,malt,misc,yeast
0,c4f2KE,'Murican Pilsner,'Murican Pilsner,5.5,32.5,98,n/a,4,N,nHLlnK,N,verified,0,,,,
1,zTTWa2,11.5° PLATO,11.5° PLATO,4.5,35,164,n/a,n/a,N,nHLlnK,N,verified,0,,,,
2,zfP2fK,12th Of Never,12th Of Never,5.5,45,25,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
3,xwYSL2,15th Anniversary Ale,15th Anniversary Ale,n/a,37.5,5,n/a,n/a,N,TMc6H2,N,verified,2,22;24;26;11;157;,247;650;,,
4,UJGpVS,16 So Fine Red Wheat Wine,16 So Fine Red Wheat Wine,11,65.0,35,n/a,n/a,N,TMc6H2,N,verified,1,4;11;86;157;,,,
5,vz5JZ1,1794 The Fergal Project,1794 The Fergal Project,4.5,47.5,42,n/a,n/a,N,DifSi4,N,verified,0,,,,
6,LcpeBb,17th Saison,17th Saison,9,30.0,72,n/a,n/a,N,TMc6H2,N,verified,2,4;24;45;113;,,,1872;
7,Yd8G8r,18th Anniversary Belgian Tripel,18th Anniversary Belgian Tripel,10,17,59,n/a,n/a,N,TMc6H2,N,verified,2,4;24;130;,,,1845;
8,iJ329Y,19 - Golden Belgian Style Ale,19 - Golden Belgian Style Ale,7,,135,n/a,n/a,N,TMc6H2,N,verified,0,,,,
9,O78ldO,1904 American Red Lager,1904 American Red Lager,5,9.0,93,n/a,n/a,N,BznahA,N,verified,0,,,,
10,qGDeH1,2 x 4,2 x 4,8.7,,70,n/a,5,N,nHLlnK,N,verified,0,,,,
11,MgdJep,200th Anniversary Export Stout,200th Anniversary Export Stout,6,45.0,24,n/a,n/a,N,HaPdSL,N,verified,0,,,,
12,ISTT06,2017 Beer Camp,2017 Beer Camp (2017),6.5,50,30,2017,n/a,N,nHLlnK,N,verified,0,,,,
13,v4KRep,20th Anniversary Imperial Hash IPA on Brett,20th Anniversary Imperial Hash IPA on Brett,9,81,31,n/a,n/a,N,TMc6H2,N,verified,0,,,,
14,uIgENV,20th Street Ale Citra,20th Street Ale Citra,7.3,,n/a,n/a,5,N,nHLlnK,N,verified,0,,,,
15,WcP2Ww,20th Street Ale Crystal,20th Street Ale Crystal,7.3,,n/a,n/a,n/a,N,nHLlnK,N,verified,0,,,,
16,HyxQE4,20th Street Ale Magnum,20th Street Ale Magnum,7.3,,n/a,n/a,n/a,N,nHLlnK,N,verified,0,,,,
17,e9sjBk,21st Anniversary,21st Anniversary,7.9,7,57,n/a,n/a,N,TMc6H2,N,verified,0,,,,
18,YZXVKq,25th Anniversary,25th Anniversary,9.8,42.5,158,n/a,n/a,N,IImUD9,N,verified,0,,,,
19,7z8RTq,3 Weight,3 Weight,4,,164,n/a,n/a,N,nHLlnK,N,verified,0,,,,
20,f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Bock","30th Anniversary - Charlie, Fred & Ken's Bock",8.3,29.0,89,n/a,n/a,N,nHLlnK,Y,verified,0,,,,
21,0KEzfx,30th Anniversary - Fritz and Ken's Ale,30th Anniversary - Fritz and Ken's Ale,9.2,65.0,43,n/a,n/a,N,nHLlnK,Y,verified,0,,,,
22,KjumXn,30th Anniversary - Grand Cru,30th Anniversary - Grand Cru,9.2,,138,n/a,n/a,N,nHLlnK,N,verified,0,,,,
23,8M5lCq,30th Anniversary - Jack & Ken's Ale,30th Anniversary - Jack & Ken's Ale,10.2,80.0,34,n/a,n/a,N,nHLlnK,Y,verified,0,,,,
24,ajbd6g,35th Anniversary  - Brewer's Reserve,35th Anniversary  - Brewer's Reserve,8,47.5,14,n/a,n/a,N,nHLlnK,N,verified,0,,,,
25,NoNhan,420 Extra Pale Ale,420 Extra Pale Ale,5.4,41,25,n/a,5,N,TMc6H2,N,verified,0,,,,
26,pOUbfg,420 Fest,420 Fest,8,82.5,31,n/a,n/a,N,TMc6H2,N,verified,0,,,,
27,jIKwgZ,420 Strain G13 IPA,420 Strain G13 IPA,6,48,30,n/a,n/a,N,TMc6H2,N,verified,0,,,,
28,lWygSS,471 Double IPA - Hull Melon,471 Double IPA - Hull Melon,9.2,82.5,31,n/a,n/a,N,IImUD9,N,verified,0,,,,
29,fa0oqf,471 ESB - Extra Special Bitter,471 ESB - Extra Special Bitter,7.8,55,5,n/a,5,N,IImUD9,Y,verified,0,,,,
30,HZMvCT,471 IPA Barrel Series: Citra,471 IPA Barrel Series: Citra,11.3,70,31,n/a,n/a,N,IImUD9,N,verified,0,,,,
31,GysKeq,471 IPA Barrel Series: Eureka!,471 IPA Barrel Series: Eureka!,11.2,70,31,n/a,n/a,N,IImUD9,N,verified,0,,,,
