,style_id,Super Style,Style,Unnamed: 0,beer_id,name,display_name,abv,year,glass_id,organic,brewery_id,retired,status
0,1.0,British Origin Ales,Classic English-Style Pale Ale,113.0,ZK2Swv,Beer Camp: Atlantic-Style Vintage Ale,Beer Camp: Atlantic-Style Vintage Ale (2017),8.5,2017.0,,N,nHLlnK,N,verified
1,1.0,British Origin Ales,Classic English-Style Pale Ale,466.0,ZVmIsO,Golden Flash,Golden Flash,5.7,,,N,AqEUBQ,N,verified
2,1.0,British Origin Ales,Classic English-Style Pale Ale,732.0,zdjQs9,Northdown,Northdown,4.1,,,N,VEY3Xa,N,verified
3,2.0,British Origin Ales,English-Style India Pale Ale,447.0,UFPFnA,Fusion 36: London Confusion,Fusion 36: London Confusion,6.5,,,N,nLsoQ9,N,verified
4,2.0,British Origin Ales,English-Style India Pale Ale,1083.0,655f2d,Wicket IPA,Wicket IPA,5.4,,,N,VEY3Xa,N,verified
5,3.0,British Origin Ales,Ordinary Bitter,67.0,cBZj1z,Audition - English-Style Bitter,Audition - English-Style Bitter,5.6,,,N,nHLlnK,N,verified
6,3.0,British Origin Ales,Ordinary Bitter,377.0,RsTK7E,Dude of York,Dude of York,4.5,,5.0,N,941OaA,N,verified
7,3.0,British Origin Ales,Ordinary Bitter,816.0,T9hizi,Pond Scum,Pond Scum,,,,N,q6vJUK,N,verified
8,3.0,British Origin Ales,Ordinary Bitter,974.0,0a0nmv,SweetWater Motor Boat,SweetWater Motor Boat,5.6,,5.0,N,TMc6H2,N,verified
9,3.0,British Origin Ales,Ordinary Bitter,1009.0,JsJS48,There and Back - Beer Camp Across America,There and Back - Beer Camp Across America (2014),5.6,2014.0,5.0,N,nHLlnK,N,verified
10,4.0,British Origin Ales,Special Bitter or Best Bitter,42.0,hbF6tu,ABLE Best Britter,ABLE Best Britter,4.3,,5.0,N,nHLlnK,N,verified
11,5.0,British Origin Ales,Extra Special Bitter,3.0,xwYSL2,15th Anniversary Ale,15th Anniversary Ale,,,,N,TMc6H2,N,verified
12,5.0,British Origin Ales,Extra Special Bitter,29.0,fa0oqf,471 ESB - Extra Special Bitter,471 ESB - Extra Special Bitter,7.8,,5.0,N,IImUD9,Y,verified
13,5.0,British Origin Ales,Extra Special Bitter,161.0,gLBFNH,Bitter Over Ewe,Bitter Over Ewe,,,,Y,p1tFbP,N,verified
14,5.0,British Origin Ales,Extra Special Bitter,213.0,d2nhC0,Brown's Point ESB,Brown's Point ESB,5.6,,,N,DMU2Kf,N,verified
15,5.0,British Origin Ales,Extra Special Bitter,305.0,S1oEH9,CSB ESB,CSB ESB,,,,N,yX6twV,Y,verified
16,5.0,British Origin Ales,Extra Special Bitter,381.0,AC98pm,Earth Day EPA,Earth Day EPA,5.2,,5.0,N,nHLlnK,N,verified
17,5.0,British Origin Ales,Extra Special Bitter,389.0,MtJRP6,ESB,ESB,5.5,,,Y,4F7QA9,N,verified
18,5.0,British Origin Ales,Extra Special Bitter,396.0,H20aOl,Extra ESB - Small Batch Series,Extra ESB - Small Batch Series,7.8,,,N,IImUD9,N,verified
19,5.0,British Origin Ales,Extra Special Bitter,758.0,Uz0Uxf,Old Chico ESB,Old Chico ESB,,,,N,nHLlnK,N,verified
20,5.0,British Origin Ales,Extra Special Bitter,933.0,Uwcqsj,Southern Hemisphere Hopped ESB,Southern Hemisphere Hopped ESB,6.0,,,N,q6vJUK,N,verified
21,5.0,British Origin Ales,Extra Special Bitter,1069.0,60GVov,Well Built E.S.B.,Well Built E.S.B.,7.8,,,N,IImUD9,N,verified
22,6.0,British Origin Ales,English-Style Summer Ale,,,,,,,,,,,
23,7.0,British Origin Ales,Scottish-Style Light Ale,,,,,,,,,,,
24,8.0,British Origin Ales,Scottish-Style Heavy Ale,460.0,HiunCp,Gingerbread Old Chub,Gingerbread Old Chub,8.0,,,N,q6vJUK,N,verified
25,8.0,British Origin Ales,Scottish-Style Heavy Ale,982.0,5ErplG,Tater Ridge - Beer Camp Across America,Tater Ridge - Beer Camp Across America (2014),7.0,2014.0,5.0,N,nHLlnK,N,verified
26,9.0,British Origin Ales,Scottish-Style Export Ale,,,,,,,,,,,
27,10.0,British Origin Ales,English-Style Pale Mild Ale,647.0,J183HL,London Calling,London Calling,3.2,,,N,VEY3Xa,N,verified
28,10.0,British Origin Ales,English-Style Pale Mild Ale,1041.0,QSwjKh,Twisted Cedar,Twisted Cedar,5.8,,,N,AqEUBQ,N,verified
29,11.0,British Origin Ales,English-Style Dark Mild Ale,869.0,5fM3ER,Rye Barrel Aged Cubcrawler,Rye Barrel Aged Cubcrawler,,,,N,p1tFbP,N,verified
30,12.0,British Origin Ales,English-Style Brown Ale,785.0,8Ug3hm,Oxford Education,Oxford Education,7.3,,,N,q6vJUK,N,verified
31,13.0,British Origin Ales,Old Ale,108.0,2rqlKs,Beer Camp 013: Old Cantankerous,Beer Camp 013: Old Cantankerous,6.6,,,N,nHLlnK,N,verified
32,13.0,British Origin Ales,Old Ale,289.0,gfFqa1,Cold Nose Winter Ale,Cold Nose Winter Ale,,,,N,yX6twV,Y,verified
33,13.0,British Origin Ales,Old Ale,756.0,lr1zya,Old Ale,Old Ale,6.9,,,N,VEY3Xa,N,verified
34,13.0,British Origin Ales,Old Ale,1001.0,9RNMJQ,The Gimp,The Gimp,10.3,,,N,TMc6H2,N,verified
35,14.0,British Origin Ales,Strong Ale,24.0,ajbd6g,35th Anniversary  - Brewer's Reserve,35th Anniversary  - Brewer's Reserve,8.0,,,N,nHLlnK,N,verified
36,14.0,British Origin Ales,Strong Ale,306.0,AvtUms,Cubcrawler,Cubcrawler,,,,Y,p1tFbP,N,verified
37,14.0,British Origin Ales,Strong Ale,712.0,tGCD2j,New Holland Brewing 20th Anniversary Ale,New Holland Brewing 20th Anniversary Ale,20.0,,,N,AqEUBQ,N,verified
38,15.0,British Origin Ales,Scotch Ale,72.0,eOVHdT,Audition - Scotch Ale,Audition - Scotch Ale,7.3,,,N,nHLlnK,N,verified
39,15.0,British Origin Ales,Scotch Ale,176.0,QFJ250,Blantons Barrel Aged Scotch Ale,Blantons Barrel Aged Scotch Ale,11.3,,,N,nHLlnK,N,verified
40,15.0,British Origin Ales,Scotch Ale,240.0,BbrPm8,Buffalo Trace Aged Scotch Ale,Buffalo Trace Aged Scotch Ale,11.1,,,N,nHLlnK,N,verified
41,15.0,British Origin Ales,Scotch Ale,330.0,24UMt9,Davey Murray's Best Scotch Ale,Davey Murray's Best Scotch Ale,9.5,,,N,nLsoQ9,N,verified
42,15.0,British Origin Ales,Scotch Ale,380.0,nvaDvZ,Eagle Rare Barrel Aged Scotch Ale,Eagle Rare Barrel Aged Scotch Ale,11.3,,,N,nHLlnK,N,verified
43,15.0,British Origin Ales,Scotch Ale,501.0,hf0GB8,Hairy Highlander,Hairy Highlander,,,,Y,p1tFbP,N,verified
44,15.0,British Origin Ales,Scotch Ale,668.0,iNpc02,Maple Scotch-Style Ale,Maple Scotch-Style Ale,7.3,,,N,nHLlnK,N,verified
45,15.0,British Origin Ales,Scotch Ale,760.0,KmsdoV,Old Chub,Old Chub,8.0,,5.0,N,q6vJUK,N,verified
46,15.0,British Origin Ales,Scotch Ale,761.0,9bNjNs,Old Chub Nitro,Old Chub Nitro,8.0,,,N,q6vJUK,N,verified
47,15.0,British Origin Ales,Scotch Ale,887.0,IzBcZt,Scotch-Style Ale,Scotch-Style Ale,7.3,,,N,nHLlnK,N,verified
48,15.0,British Origin Ales,Scotch Ale,1020.0,i5EwQe,Trip In The Woods,Trip In The Woods,9.6,,,N,nHLlnK,N,verified
49,15.0,British Origin Ales,Scotch Ale,1027.0,kKHKCn,Trip in the Woods: Maple Scotch,Trip in the Woods: Maple Scotch,9.8,,,N,nHLlnK,N,verified
50,15.0,British Origin Ales,Scotch Ale,1090.0,Edea9J,Winter Ale,Winter Ale,6.1,,,N,DifSi4,N,verified
