,name,text
0,Blue Suede Shews,14% Orange Blossom Honey-wine with Wild Blueberries and Cashew
1,Find the Lady,"14% Orange Blossom Mead with Elderberries, Red Currants and Red Gooseberries"
2,The Monte,Find the Lady with Ugandan vanilla beans and american oak
3,Levitation,"Wild Blueberry Mead with Peppermint Leaves, aged on vermouth staves"
4,Call of the Void,Black currant mead aged in Gin barrels. Dedicated to those that have trouble looking into the darkness and realizing how much sweetness there still is... Read More
5,Crème Brewlée (a.k.a. Coffee & Cream),"14% Mead made with Meadowfoam Honey and Kyoto Coffee. Fresh, this mead will exhibit an iced coffee with cream - like flavor profile. With a few years… Read More"
6,The Man With the Axe,"14% honey wine with Montmorency cherries, Tahitian vanilla beans and vermouth soaked oak chips."
7,Blueberry Pancake,14% Blueberry Mead with Natural Flavors
8,Cali Cotton (R&D),12% Orange Blossom Pyment made with Cotton Candy grapes from California
9,"Razzamatazz (2018, June)","14% Raspberry Mead, bottled in June of 2018"
10,Black Currant Pancake,14% Black Currant mead with Natural Flavors
11,La Hire,14% Orange Blossom Honey-wine made with Cranberries
12,"Plum (2018, June)","Plum Mead with Orange Blossom Honey, bottled in June of 2018"
13,Banana Pancake,Banana Mead with Natural Flavors
14,Torn & Restored,"Torn and Restored is a form of illusion where a card or other paper object is ripped before a spectator’s eyes, only to be returned to its original state.… Read More"
15,A Thousand Ships,14% Orange Blossom Honey-wine made with Strawberries and Bananas
16,Amalgamation,Orange Blossom Honey with the following fruits by weight: 8% Black Currants 20% Peach 20% Pear 20% Plum 5% Elderberry 7% Black Cherry 10% Red Raspberry… Read More
17,Apple Turnover,Cyser w/vanilla and cinnamon. with meadowfoam honey and caramelized cider
18,Snake Eyes,14% Melomel made with Lingonberries and Sea Buckthorn Berries
19,Raspberry Pancake,"A Raspberry Mead with Natural flavors, aged on Bourbon Staves"
20,Crazy Cakes,Version of Amalgamation with the ‘pancake series’ treatment.
21,Presto,Mead made with raspberries vanilla and cacao nibs
22,Strawberry Bourbon Pancake,"14% honey wine with Strawberries, Maple Syrup, Marshmallow, Cinnamon, Bourbon soaked Oak Chips, and Natural Flavors"
23,There's A Snake In My Shews,Blue Suede Shews with Vanilla Beans
24,Royalty,Blood Orange Mead with Vanilla Beans added
25,Cali Cotton (Sept 2018),12% Pyment made with Cotton Candy Grapes
26,46+2,"14% Meadowfoam Mead aged in Rye Whisky Barrels previously holding a Vanilla Imperial Stout. Special bottling raffled to support Gigi's Playhouse, a Down… Read More"
27,There's A Snake In My Bluet,"14% Honey Wine with Blueberries, Cashews, Madagascar Vanilla Beans and Rye Whiskey soaked Oak Chips. This is NOT the same base recipe as Blue Suede Shews… Read More"
28,Marshmallow La Hire,14% Orange Blossom Honey-wine made with Cranberries and Toasted Marshmallow
29,The Trickster,"Saskatoon Berry Mead with Cacao Nibs, Coconut, and light usage of Vanilla Beans and Maple Syrup. Aged on Bourbon Staves"
30,Apricot Turnover,Apricot Mead with Cinnamon and Vanilla Beans rested on Graham Crackers
31,The Fool,Saskatoon Berry Mead
32,Imprecation,"14% Melomel with Bing Cherries, Black Currants and Red Currants."
33,Pear Turnover,Pear mead with vanilla and cinnamon.
34,Plum Crazy,"14% mead with plums, cacao nibs and vanilla beans"
35,Malediction,
36,Coconut Coffee Key Lime Pie,"Mead with Coffee, Coconut, Key Lime Juice and Graham Crackers"
37,(R&D batch) Spumoni,"14% honey wine with Montmorency Cherries, Cacao Nibs and Pistachio"
38,Palindrome,Pineapple and Blood Orange Mead
39,Blue Sandals,Light version of Blue Suede Shews made with a fraction of the fruit and nuts
40,Blackjack (R&D),14% melomel made with Black Raspberries and a blend of Orange Blossom and Blueberry Blossom honey
41,Tear Drop,Pyment with Tear Drop grapes
42,Tricks Are For Kids,14% Version of Amalgamation backsweetend with Confectioners Sugar and Vanilla Beans added. Made with the following fruits by weight: 8% Black Currants… Read More
43,Double Oaked Blueberry Vanilla Wild Card,"7% Lacto Soured mead with blueberries and vanilla, aged on oak spirals"
44,Blackjack (Sept 2018),14% melomel made with Black Raspberries and a blend of Orange Blossom and Blueberry Blossom honey
45,Peach Turnover,"Peaches, cinnamon and vanilla."
46,Banana Walnut Bread,
47,Blackberry Mechanic,Blackberry mead made with a light(er) touch of fruit and honey.
48,Wild Card Series - Black Currant,7% lacto fermented honey wine with black currants
49,I Stepped In Mud,Blue suede shews with cacao nibs
50,Finn,14% melomel with Huckleberries and Orange Blossom honey
51,Cherry Turnover,"Cherry mead with cinnamon, vanilla and graham crackers"
52,Frutta Biscotti,"Made with cranberry, blueberry, cherry and almonds"
53,Blind,Date Mead
54,Lights Out,A version of Blind (date mead) that was aged for several months in a used Raspberry Quiet Giant barrel from Imperial Oak brewing. The resulting aging… Read More
55,Wild Card Series - Blueberry Vanilla,"Lacto Soured Mead - Made with Sourwood honey, blueberries and vanilla beans. Aged on American Oak."
56,Old Timey Root Beer,Mead made with spices and aged on rum soaked oak chips
57,Smoke & Mirrors,Mead with maple syrup and bacon
58,Dead Man's Hand (Barrel Aged),Mead with Coconut and Cacao Nibs aged in Rye Whiskey Barrels
59,Black Forest,"Mead with black licorice, peppermint leaves, and vanilla."
60,Strawngberry,"Starting with >200lbs of hand-picked strawberries, followed by a step feeding protocol with honey to try to maximize the combination of both abv and viscosity Read More"
61,Hesitation,Blueberry Mead aged on Vermouth Staves/in ex Vermouth Barrels
62,Sourwood,14% mead made with sourwood honey
63,Ace High,14% Honey-Wine made with Orange Blossom Honey and Acai Berries
64,Apricadabra,14% Mead made with Apricots and Orange Blossom Honey
65,46 + Moar,46 + 2 aged for an extended period
66,Overboard,"Mead with Strawberry, Banana and Vanilla Beans"
67,Orange Blossom,14% Traditional Mead made with Orange Blossom Honey
68,A Man & His Mjød,Wild flower traditional aged in a buffalo trace barrel that last held an Imperial Chai stout from Central Waters for 2 years. With cinnamon added.
69,Dead Man's Hand,14% Mead made with Coconut and Cacao Nibs
70,Rolling Meadows,14% Traditional Honey-Wine made with Meadowfoam Honey
71,Back To Basics,14% Texas Wildflower honey wine aged with ORVW10 soaked oak chips
72,Dovetail,Grapefruit mead with Ginger and Brown Sugar
73,Blueberry Blossom,14% mead made with Blueberry Blossom honey
74,Chocolate Pancake,Mead with Natural Flavors
