,name,brewery,style,abv,ibu,rating,raters,date
0,Blue Suede Shews,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.85),643 Ratings,Added 04/29/16
1,Find the Lady,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.65),532 Ratings,Added 01/19/17
2,The Monte,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.72),474 Ratings,Added 03/18/17
3,Levitation,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.54),311 Ratings,Added 04/20/18
4,Call of the Void,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.85),308 Ratings,Added 08/12/17
5,Crème Brewlée (a.k.a. Coffee & Cream),https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.27),284 Ratings,Added 12/31/17
6,The Man With the Axe,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.66),223 Ratings,Added 08/05/16
7,Blueberry Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.77),242 Ratings,Added 10/01/16
8,Cali Cotton (R&D),https://untappd.com/PipsMeadery,Mead - Pyment,12% ABV,N/A IBU,(4.63),209 Ratings,Added 09/10/16
9,"Razzamatazz (2018, June)",https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.78),239 Ratings,Added 06/21/18
10,Black Currant Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.85),198 Ratings,Added 05/13/17
11,La Hire,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.62),174 Ratings,Added 04/29/16
12,Banana Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.92),201 Ratings,Added 06/20/18
13,"Plum (2018, June)",https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.67),213 Ratings,Added 06/21/18
14,Torn & Restored,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.39),192 Ratings,Added 03/16/18
15,A Thousand Ships,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.7),168 Ratings,Added 04/29/16
16,Amalgamation,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.73),174 Ratings,Added 03/16/18
17,Apple Turnover,https://untappd.com/PipsMeadery,Mead - Cyser,14% ABV,N/A IBU,(4.81),176 Ratings,Added 05/31/17
18,Snake Eyes,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.63),188 Ratings,Added 03/16/18
19,Raspberry Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.85),149 Ratings,Added 05/11/18
20,Crazy Cakes,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.8),152 Ratings,Added 08/10/18
21,Presto,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.78),121 Ratings,Added 05/13/17
22,Strawberry Bourbon Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.86),140 Ratings,Added 12/09/17
23,There's A Snake In My Shews,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.93),125 Ratings,Added 05/14/17
24,Royalty,https://untappd.com/PipsMeadery,Mead - Other,12% ABV,N/A IBU,(4.64),119 Ratings,Added 10/06/18
25,Cali Cotton (Sept 2018),https://untappd.com/PipsMeadery,Mead - Pyment,12% ABV,N/A IBU,(4.7),114 Ratings,Added 09/28/18
26,46+2,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.73),104 Ratings,Added 01/19/17
27,There's A Snake In My Bluet,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.71),88 Ratings,Added 10/01/16
28,Marshmallow La Hire,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.74),102 Ratings,Added 04/29/16
29,The Trickster,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.6),98 Ratings,Added 05/25/18
30,Apricot Turnover,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.74),101 Ratings,Added 05/25/18
31,The Fool,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.73),101 Ratings,Added 06/20/18
32,Imprecation,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.66),81 Ratings,Added 05/12/17
33,Pear Turnover,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.83),88 Ratings,Added 12/09/17
34,Plum Crazy,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.55),76 Ratings,Added 10/22/17
35,Malediction,https://untappd.com/PipsMeadery,Mead - Other,N/A ABV,N/A IBU,(4.78),77 Ratings,Added 07/02/17
36,Coconut Coffee Key Lime Pie,https://untappd.com/PipsMeadery,Mead - Other,12.5% ABV,N/A IBU,(4.85),89 Ratings,Added 09/08/18
37,(R&D batch) Spumoni,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.47),57 Ratings,Added 07/11/16
38,Palindrome,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.62),76 Ratings,Added 08/31/18
39,Blue Sandals,https://untappd.com/PipsMeadery,Mead - Other,11% ABV,N/A IBU,(4.9),75 Ratings,Added 03/16/18
40,Blackjack (R&D),https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.65),62 Ratings,Added 06/24/17
41,Tear Drop,https://untappd.com/PipsMeadery,Mead - Pyment,12% ABV,N/A IBU,(4.57),66 Ratings,Added 11/05/17
42,Tricks Are For Kids,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.77),73 Ratings,Added 03/16/18
43,Double Oaked Blueberry Vanilla Wild Card,https://untappd.com/PipsMeadery,Mead - Other,7% ABV,N/A IBU,(4.54),69 Ratings,Added 09/08/18
44,Blackjack (Sept 2018),https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.66),67 Ratings,Added 09/28/18
45,Peach Turnover,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.78),58 Ratings,Added 12/12/17
46,Banana Walnut Bread,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.76),52 Ratings,Added 12/11/17
47,Blackberry Mechanic,https://untappd.com/PipsMeadery,Mead - Melomel,12% ABV,N/A IBU,(4.66),48 Ratings,Added 11/07/17
48,Wild Card Series - Black Currant,https://untappd.com/PipsMeadery,Mead - Other,7% ABV,N/A IBU,(4.4),30 Ratings,Added 07/27/16
49,I Stepped In Mud,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.82),41 Ratings,Added 08/26/18
50,Finn,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.67),29 Ratings,Added 04/17/17
51,Cherry Turnover,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.81),40 Ratings,Added 08/10/18
52,Frutta Biscotti,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.84),37 Ratings,Added 08/26/18
53,Blind,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.76),32 Ratings,Added 10/20/18
54,Lights Out,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.66),32 Ratings,Added 10/19/18
55,Wild Card Series - Blueberry Vanilla,https://untappd.com/PipsMeadery,Mead - Other,7% ABV,N/A IBU,(4.24),36 Ratings,Added 03/16/18
56,Old Timey Root Beer,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.53),30 Ratings,Added 12/15/17
57,Smoke & Mirrors,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.56),32 Ratings,Added 08/26/18
58,Dead Man's Hand (Barrel Aged),https://untappd.com/PipsMeadery,Mead - Other,15% ABV,N/A IBU,(4.64),25 Ratings,Added 01/19/17
